Clause/Provision Number,Title,Date,Prescribed In,Provision or Clause,UCF,IBR or FT,Fill In,Mod or Sub,App Dev,Supply FP,Supply CR,R&D FP,R&D CR,Service FP,Service CR,Construction FP,Construction CR,Time & Material/ Labor Hour,Archetecture & Engineering,Idefinite Delivery,Transportation,Simplified Acquisition Procedures,Commercial Items
1852.245-77,List of Government property furnished pursuant to FAR 52.245-2,DEC 2025 (DEVIATION),1845.107-70(h),C,G,FT,X,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,,,A,
1852.245-78,Physical inventory of capital personal property,JULY 2026 (DEVIATION),1845.107-70(i),C,G,IBR,,,PCD 25-36,A,A,A,A,A,A,A,A,A,,,,A,
1852.245-79,Records and disposition reports for Government property with potential historic or significant real value.,DEC 2025 (DEVIATION),1845.107-70(j),C,G,IBR,,,PCD 25-36,A,A,A,A,A,A,,,A,A,,,A,
1852.245-80,Government property management information,DEC 2025 (DEVIATION),1845.107-70(k)(1),P,,FT,X,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,,,A,
1852.245-81,List of available Government property,DEC 2025 (DEVIATION),1845.107-7(l),P,L,FT,X,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,,,A,
1852.245-82,Occupancy management requirements,DEC 2025 (DEVIATION),1845.107-70(m),C,G,FT,X,,PCD 25-36,A,A,A,A,A,A,A,A,A,A,,,A,
1852.245-83,Real property management information,DEC 2025 (DEVIATION),1845.107-70(n),C,G,FT,X,,PCD 25-36,A,A,,A,A,A,A,A,A,A,,,A,
1852.246-71,Government Cotnract Quality Assurance,SEP 2025 (DEVIATION),1846.47,C,E,FT,X,X,PCD 25-26,O,O,O,O,O,O,O,O,O,,O,O,,
1852.246-72,Material Inspection and Receiving Report,SEP 2025 (DEVIATION),1846.67,C,E,FT,X,X,PCD 25-26,A,A,A,A,A,A,A,A,A,,A,A,A,A
1852.246-73,Human Space Flight Item,SEP 2025 (DEVIATION),1846.37,C,E,IBR,,,PCD 25-26,A,A,A,A,,,,,A,,A,,A,
1852.246-74,Contractor Counterfeit Electronic Part Detection and Avoidance,SEP 2025 (DEVIATION),1846.7003,C,I,IBR,,,PCD 25-26,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1852.247-71,Protection of the Florida Manatee,JUN 2018,1847.7001,C,H,IBR,,,PCD 18-35,A,A,A,A,A,A,A,A,A,,A,A,A,A
1852.247-72,Advance Notice of Shipment,OCT 1998,1847.305-70(a),C,F,FT,X,X,PCD 25-42,O,O,O,O,,,,,O,,O,,O,
1852.247-73,Bills of Lading,JUN 2002,1847.305-70(b),C,F,FT,X,X,PCD 25-42,O,O,O,O,,,,,O,,O,,O,
